English	Simplified
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
my internet is not working	我的网坏了
are we allowed to speak english in class (important part: how to say ‘in class’)	我们可以课堂上说英文吗？
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
my internet is not working	我的网坏了
are we allowed to speak english in class (important part: how to say ‘in class’)	我们可以课堂上说英文吗？
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
my internet is not working	我的网坏了
are we allowed to speak english in class (important part: how to say ‘in class’)	我们可以课堂上说英文吗？
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
in class	课堂上
i just joined this course	我刚刚才报上这节课
i'm not sure if i'm allowed to speak english	我不确定我能不能说英文
read the text	朗读课文
Improvised conversation	即兴对话
listening	听力
reading	阅读
translate	翻译
i assumed you already did the laundry	我以为你已经洗过衣服了
i assume you must be jake	你一定是Jake吧
overthought (negative)	自作多情
I assumed we were dating but I guess I thought wrong	我以为我是你的男朋友，原来是我自作多情了。
Oh I see (this word doesn't exist in English)	原来如此
What did you do last night? I did laundry	你昨天晚上做什么了？我洗衣服了
Did you buy the movie tickets for tomorrow?	你买明天的电影票了吗？
How long did you wait?	等了多长时间
zhang tian ming bought a plane ticket and flew home	张天明买了飞机票回家了
I saw smol Wang yesterday at school	昨天我在学校里看见了小王
It's October, the weather is getting colder.	十月了，天气慢慢冷了
As soon as I moved in yesterday I went to eat food	昨天我一搬进了宿舍就去餐厅吃饭了
are you an undergrad？	你是大学生吗？
Every classmate in my class has studied Chinese before except for Xiao Ke	除了逍客以外，我们班的同学都去过中文
I'd do anything at night other than reading	除了看书以外，晚上什么事我都愿意做
i need to get (i.e., obtain) the online textbook (slang)	我需要搞到那本电子教材
i need to get (i.e., obtain) the online textbook (non-slang)	我需要找到那本电子教材
i don’t have a dog anymore	我没有狗了
I have to get my stuffs	我得拿东西
verb	动词
Then you should go	那你该过去了
This sentence is a little weird	这句话有点奇怪
we are the opposite (our personality is opposite)	我们性格相反
Zoo	动物园
i’m going to try (i.e., attempt) to be on time 	我会努力按时到
i’m going to test if the computer is working 	我要测试一下这个电脑是否运转正常
Because houses off campus is cheaper	因为校外的房子比较便宜
We are very different (using chengyu)	我们截然不同
We are very different (using chengyu2)	我们有天壤之别
phrase	短语
can you open the door please?	你可以帮我开一下门吗
why am i so bad at math	我为什么数学这么差
i didn’t realize	我没意识到
this chapter only has two parts 	这一章只有两部分
accidentally	不小心
i did laundry yesterday evening	昨天晚上我洗衣服了
tomorrow, i'll go to the airport after breakfast	明天我吃了早饭去机场
how long did you wait	你等了多少时间？
i called him	我给他打了电话了
he went right home after buying the plane ticket	他买了机票就回家了
yesterday i saw little wang at school	昨天我在学校里看见了小王
it's october. the weather is (gradually) getting cold	十月了，天气慢慢冷了
in addition to chinese, he is also studying japanese	除了学中文以外，他也学日文
in our class, in addition to little wang, little lin has also been to China	我们搬出了小王意外，还有小林去过中国
except for little ke, every student in our class has been to China	除了小柯以外，我们班的同学都去过中国
i don't feel very well today. i can't go swimming with you	我今天觉得有地点不舒服，不能跟你一起去游泳了
everyone says that film is good, but i didn't think it was all that great after seeing it	大家都说那个电影好看，但是我看了以后觉得不怎么样
many americans think that you should leave home and live somewhere else after you turn 18. I don't necessarily feel this is the case.	很多美国人说认为十八岁以后就应该离开家搬到别的地方住，我觉得不一定。
i'd like to ask you a question. does right now work?	我想问你一个问题你现在方便吗？
please give me a call whenever you can	方便的时候，请给我打个电话 (added 个 softens request)
this building is very safe	这栋楼很安全
our dorm has a big problem with safety	我们的宿舍的安全问题很大
the safest solution is to not allow people into the company building after 5pm	最安全的办法是下午点以后不准人进公司。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
never	从来不
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
row	
listener	
if you drive one day less per week, you'll save a lot of money over the year 	每个星期少开一天车，一年可以省不少钱
the shirt is half off this weekend. you can save thirty dollars.	这件衬衫周末打五折，可以省三十块钱
in that place, do you think people have freedom？	在那个地方，你觉得人们有自由吗
the streets in this city are packed with people and cars. Driving isn't necessarily faster than walking.	这个城市路上车多人多，开车不见得比走快
he bought two books online a moment ago	他刚才在网上买了两本书
i did laundry yesterday evening	昨天晚上我洗衣服了
tomorrow, i'll go to the airport after breakfast	明天我吃了早饭去机场
how long did you wait	你等了多少时间？
i called him	我给他打了电话了
he went right home after buying the plane ticket	他买了机票就回家了
yesterday i saw little wang at school	昨天我在学校里看见了小王
it's october. the weather is (gradually) getting cold	十月了，天气慢慢冷了
in addition to chinese, he is also studying japanese	除了学中文以外，他也学日文
in our class, in addition to little wang, little lin has also been to China	我们搬出了小王意外，还有小林去过中国
except for little ke, every student in our class has been to China	除了小柯以外，我们班的同学都去过中国
i don't feel very well today. i can't go swimming with you	我今天觉得有地点不舒服，不能跟你一起去游泳了
everyone says that film is good, but i didn't think it was all that great after seeing it	大家都说那个电影好看，但是我看了以后觉得不怎么样
many americans think that you should leave home and live somewhere else after you turn 18. I don't necessarily feel this is the case.	很多美国人说认为十八岁以后就应该离开家搬到别的地方住，我觉得不一定。
i'd like to ask you a question. does right now work?	我想问你一个问题你现在方便吗？
please give me a call whenever you can	方便的时候，请给我打个电话 (added 个 softens request)
this building is very safe	这栋楼很安全
our dorm has a big problem with safety	我们的宿舍的安全问题很大
the safest solution is to not allow people into the company building after 5pm	最安全的办法是下午点以后不准人进公司。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
never	从来不
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
speaker	
at what (specific) time did you come to Ann Arbor?	
i lived in china last year. Eating was very expensive. I saved a lot of money.	我去年住在中国，吃饭很多便宜，省了很多钱
the shirt is half off this weekend. you can save thirty dollars.	这件衬衫周末打五折，可以省三十块钱
what's said in the newspaper isn't necessarily right	报上说的不见得对
he bought two books online a moment ago	他刚才在网上买了两本书
i did laundry yesterday evening	昨天晚上我洗衣服了
tomorrow, i'll go to the airport after breakfast	明天我吃了早饭去机场
how long did you wait	你等了多少时间？
i called him	我给他打了电话了
he went right home after buying the plane ticket	他买了机票就回家了
yesterday i saw little wang at school	昨天我在学校里看见了小王
it's october. the weather is (gradually) getting cold	十月了，天气慢慢冷了
in addition to chinese, he is also studying japanese	除了学中文以外，他也学日文
in our class, in addition to little wang, little lin has also been to China	我们搬出了小王意外，还有小林去过中国
except for little ke, every student in our class has been to China	除了小柯以外，我们班的同学都去过中国
i don't feel very well today. i can't go swimming with you	我今天觉得有地点不舒服，不能跟你一起去游泳了
everyone says that film is good, but i didn't think it was all that great after seeing it	大家都说那个电影好看，但是我看了以后觉得不怎么样
many americans think that you should leave home and live somewhere else after you turn 18. I don't necessarily feel this is the case.	很多美国人说认为十八岁以后就应该离开家搬到别的地方住，我觉得不一定。
i'd like to ask you a question. does right now work?	我想问你一个问题你现在方便吗？
please give me a call whenever you can	方便的时候，请给我打个电话 (added 个 softens request)
this building is very safe	这栋楼很安全
our dorm has a big problem with safety	我们的宿舍的安全问题很大
the safest solution is to not allow people into the company building after 5pm	最安全的办法是下午点以后不准人进公司。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
never	从来不
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
speaker	
at what (specific) time did you come to Ann Arbor?	
i lived in china last year. Eating was very expensive. I saved a lot of money.	我去年住在中国，吃饭很多便宜，省了很多钱
the shirt is half off this weekend. you can save thirty dollars.	这件衬衫周末打五折，可以省三十块钱
what's said in the newspaper isn't necessarily right	报上说的不见得对
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
row	
listener	
why is the kid walking around freely	
can i have a try	
he bought two books online a moment ago	他刚才在网上买了两本书
i did laundry yesterday evening	昨天晚上我洗衣服了
tomorrow, i'll go to the airport after breakfast	明天我吃了早饭去机场
how long did you wait	你等了多少时间？
i called him	我给他打了电话了
he went right home after buying the plane ticket	他买了机票就回家了
yesterday i saw little wang at school	昨天我在学校里看见了小王
it's october. the weather is (gradually) getting cold	十月了，天气慢慢冷了
in addition to chinese, he is also studying japanese	除了学中文以外，他也学日文
in our class, in addition to little wang, little lin has also been to China	我们搬出了小王意外，还有小林去过中国
except for little ke, every student in our class has been to China	除了小柯以外，我们班的同学都去过中国
i don't feel very well today. i can't go swimming with you	我今天觉得有地点不舒服，不能跟你一起去游泳了
everyone says that film is good, but i didn't think it was all that great after seeing it	大家都说那个电影好看，但是我看了以后觉得不怎么样
many americans think that you should leave home and live somewhere else after you turn 18. I don't necessarily feel this is the case.	很多美国人说认为十八岁以后就应该离开家搬到别的地方住，我觉得不一定。
i'd like to ask you a question. does right now work?	我想问你一个问题你现在方便吗？
please give me a call whenever you can	方便的时候，请给我打个电话 (added 个 softens request)
this building is very safe	这栋楼很安全
our dorm has a big problem with safety	我们的宿舍的安全问题很大
the safest solution is to not allow people into the company building after 5pm	最安全的办法是下午点以后不准人进公司。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
never	从来不
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
speaker	
at what (specific) time did you come to Ann Arbor?	
i lived in china last year. Eating was very expensive. I saved a lot of money.	我去年住在中国，吃饭很多便宜，省了很多钱
the shirt is half off this weekend. you can save thirty dollars.	这件衬衫周末打五折，可以省三十块钱
what's said in the newspaper isn't necessarily right	报上说的不见得对
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
row	
listener	
why is the kid walking around freely	
can i have a try	
he bought two books online a moment ago	他刚才在网上买了两本书
i did laundry yesterday evening	昨天晚上我洗衣服了
tomorrow, i'll go to the airport after breakfast	明天我吃了早饭去机场
how long did you wait	你等了多少时间？
i called him	我给他打了电话了
he went right home after buying the plane ticket	他买了机票就回家了
yesterday i saw little wang at school	昨天我在学校里看见了小王
it's october. the weather is (gradually) getting cold	十月了，天气慢慢冷了
in addition to chinese, he is also studying japanese	除了学中文以外，他也学日文
in our class, in addition to little wang, little lin has also been to China	我们搬出了小王意外，还有小林去过中国
except for little ke, every student in our class has been to China	除了小柯以外，我们班的同学都去过中国
i don't feel very well today. i can't go swimming with you	我今天觉得有地点不舒服，不能跟你一起去游泳了
everyone says that film is good, but i didn't think it was all that great after seeing it	大家都说那个电影好看，但是我看了以后觉得不怎么样
many americans think that you should leave home and live somewhere else after you turn 18. I don't necessarily feel this is the case.	很多美国人说认为十八岁以后就应该离开家搬到别的地方住，我觉得不一定。
i'd like to ask you a question. does right now work?	我想问你一个问题你现在方便吗？
please give me a call whenever you can	方便的时候，请给我打个电话 (added 个 softens request)
this building is very safe	这栋楼很安全
our dorm has a big problem with safety	我们的宿舍的安全问题很大
the safest solution is to not allow people into the company building after 5pm	最安全的办法是下午点以后不准人进公司。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
never	从来不
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
speaker	
at what (specific) time did you come to Ann Arbor?	
i lived in china last year. Eating was very expensive. I saved a lot of money.	我去年住在中国，吃饭很多便宜，省了很多钱
the shirt is half off this weekend. you can save thirty dollars.	这件衬衫周末打五折，可以省三十块钱
what's said in the newspaper isn't necessarily right	报上说的不见得对
he bought two books online a moment ago	他刚才在网上买了两本书
i did laundry yesterday evening	昨天晚上我洗衣服了
tomorrow, i'll go to the airport after breakfast	明天我吃了早饭去机场
how long did you wait	你等了多少时间？
i called him	我给他打了电话了
he went right home after buying the plane ticket	他买了机票就回家了
yesterday i saw little wang at school	昨天我在学校里看见了小王
it's october. the weather is (gradually) getting cold	十月了，天气慢慢冷了
in addition to chinese, he is also studying japanese	除了学中文以外，他也学日文
in our class, in addition to little wang, little lin has also been to China	我们搬出了小王意外，还有小林去过中国
except for little ke, every student in our class has been to China	除了小柯以外，我们班的同学都去过中国
i don't feel very well today. i can't go swimming with you	我今天觉得有地点不舒服，不能跟你一起去游泳了
everyone says that film is good, but i didn't think it was all that great after seeing it	大家都说那个电影好看，但是我看了以后觉得不怎么样
many americans think that you should leave home and live somewhere else after you turn 18. I don't necessarily feel this is the case.	很多美国人说认为十八岁以后就应该离开家搬到别的地方住，我觉得不一定。
i'd like to ask you a question. does right now work?	我想问你一个问题你现在方便吗？
please give me a call whenever you can	方便的时候，请给我打个电话 (added 个 softens request)
this building is very safe	这栋楼很安全
our dorm has a big problem with safety	我们的宿舍的安全问题很大
the safest solution is to not allow people into the company building after 5pm	最安全的办法是下午点以后不准人进公司。
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
never	从来不
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
speaker	
at what (specific) time did you come to Ann Arbor?	
i lived in china last year. Eating was very expensive. I saved a lot of money.	我去年住在中国，吃饭很多便宜，省了很多钱
the shirt is half off this weekend. you can save thirty dollars.	这件衬衫周末打五折，可以省三十块钱
what's said in the newspaper isn't necessarily right	报上说的不见得对
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
row	
listener	
why is the kid walking around freely	
can i have a try	
please tell us the advantage of doing it this way	请你说说这样做的好处
Tomorrow I’ll watch a movie after I eat dinner.	
Little Wang’s oldest brother drank two bottles of water after he had dinner.	
Did Li You drank coffee yesterday?	
Little Wang left the classroom.	
We finished eating.	
Wang Peng has been living on campus for two semesters up to this moment (and will continue to live here)	王朋在学校的宿舍住了两个学期了
he has been sick for three days (i.e., his illness has continued for three days, and he currently remains sick)	他病了三天了
he was sick for three days (i.e., he recovered from illness on the fourth day)	他病了三天
My older brother has been learning Chinese for three years.	
Little Li has been swimming for two hours.	
I’ve watched the movie three times, and I don’t want to watch it again.	
Dr Li has already bought five pairs of shoes, she will purchase one more (pair of shoes) and that’ll be plenty.	
Miss Bai has been in the library all afternoon, now she wants to get dinner.	
I’ve been living on campus for two years. I’d like to move off campus.	
Miss Wang emailed my older sister. (use “了 … 了”)	
Little Li went to the library right after the Chinese class.	
Last Saturday, I saw Dr Bai at the airport.	
I want to go to the library on Wednesday evening, but my friend will treat me to Chinese food then, so I’m not going to go to the library.	
I’ll go to the airport after this meeting.	
i&#39;m sorry to hear that	
respond to yutao	
my shoelace is untied 	
give it a try	
flash cards	
i do not trust this audio	
i don’t know yet	
i don’t know yet if i’m going to go to the (ball) game	
i moved from dc to aa	
X has many advantages (好处）？	
research lab	
i play the cello	
问Jake好[Rose]	
i need to charge my computer	
i bet i can name everybody in this picture	
do you have chapstick	
"the ""的"" comes right after the verb"	
the sentence at the bottom of the screen	
could you go back a slide (ppt)	
random	
if nobody raises their hand, i'll just call names	
column	
